PO #,Class Description
61032,Refreshments
61032,Refreshments
61032,Refreshments
61032,Refreshments
61032,HSE
53542,Office Consumables
53400,Office Consumables
61032,Office Consumables
47243,Consumables
47243,Office Consumables
47243,Other Expenses
47243,Refreshments
53435,Precast Concrete
47039,Precast Concrete
47100,Shuttering Carpentry Sundries
47300,Sand
62489,Anti termite control
53435,Precast Concrete
47039,Precast Concrete
53412,Formwork
53412,Formwork
53400,Waterproofing Sundries
61032,Waterproofing Sundries
53400,Waterproofing Sundries
53542,Waterproofing Sundries
49453,Paint Material
41974,Paint Material
49494,Paint Material
49968,Paint Material
48128,Paint Material
48443,Paint Material
49178,Finishing Sundries
49300,Finishing Sundries
49183,Ceramic & Porcelain
49431,Granite & Marble
49602,Site Consumables
35585,Site Consumables
48338,Site Consumables
49832,Site Consumables
48226,Site Consumables
48424,Site Consumables
48374,Site Consumables
62533,Site Consumables
49043,Metal Works
50387,Metal Works
50091,Metal Works
40206,Furniture / Equipments
49475,Appliances
47140,Appliances
62931,Mirrors & Glazing
63431,Mirrors & Glazing
49424,Plaster Work
49760,Painting Work
49759,Tiling Work
49453,Paint Material
49494,Paint Material
48128,Paint Material
62255,Painting Sundries
41974,Painting Sundries
49968,Painting Sundries
48443,Painting Sundries
49256,Finishing Sundries
49183,Ceramic & Porcelain
49431,Granite & Marble
48203,Site Consumables
49960,Site Consumables
48648,Site Consumables
49300,Site Consumables
62533,Site Consumables
48424,Site Consumables
48226,Site Consumables
35585,Painting Sundries
50387,Metal Works
42276,Furniture / Equipments
47140,Appliances
49424,Plaster Work
49760,Painting Work
49759,Tiling Work
49453,Paint Material
35585,Paint Material
49494,Paint Material
48443,Paint Material
41974,Painting Sundries
49431,Granite & Marble
62533,Site Consumables
62255,Painting Sundries
48226,Site Consumables
49960,Site Consumables
48203,Tools & Parts
50387,Metal Works
42276,Furniture / Equipments
40206,Furniture / Equipments
49424,Plaster Work
49760,Painting Work
49759,Tiling Work
49453,Paint Material
35585,Paint Material
62255,Paint Material
41974,Painting Sundries
48443,Painting Sundries
48338,Painting Sundries
49431,Granite & Marble
48203,Site Consumables
49602,Tools & Parts
50387,Metal Works
49424,Plaster Work
49760,Painting Work
49759,Tiling Work
35585,Paint Material
62255,Paint Material
49453,Painting Sundries
48443,Painting Sundries
48226,Ceramic & Porcelain
48648,Site Consumables
41974,Site Consumables
50387,Metal Works
48830,Furniture / Equipments
49760,Painting Work
49759,Tiling Work
48338,Plaster Work Sundries
41974,Painting Sundries
48443,Painting Sundries
62255,Painting Sundries
49311,Site Consumables
35585,Site Consumables
48648,Site Consumables
50387,Metal Works
48830,Furniture / Equipments
49759,Tiling Work
