Part Code,Series,Description,UOM,Group Code,Group Name,Class Code,Class Name,Activity Code,Activity Name,,,
10202.10491,10491,STEEL BENDING MACHINE,Pcs,10202,Reinforcement Sundries,5,Reinforcement Sundries,3,Structure,,,
10202.10509,10509,STEEL CUTTING MACHINE,Pcs,10202,Reinforcement Sundries,5,Reinforcement Sundries,3,Structure,,,
10202.10510,10510,STEEL CUTTING MACHINE BLADE,Pcs,10202,Reinforcement Sundries,5,Reinforcement Sundries,3,Structure,,,
10202.10886,10886,BITUMEN SOFTBOARD 18MM*1.22M*2.2M,Pcs,10202,Reinforcement Sundries,5,Reinforcement Sundries,3,Structure,,,
10202.11032,11032,EPOXY BINDING WIRE,Pcs,10202,Reinforcement Sundries,5,Reinforcement Sundries,3,Structure,,,
10202.11278,11278,TIE BAR M83 GRADE CS355 WITH BAR DIA. 80MM AND TOTAL LENGTH = 17000MM,Pcs,10202,Reinforcement Sundries,5,Reinforcement Sundries,3,Structure,,,
10202.11279,11279,BARS TRANSPORTATION CHARGE,Trip,10202,Reinforcement Sundries,5,Reinforcement Sundries,3,Structure,,,
10202.11355,11355,GI WIRE ROPE CLIP 25MM,Pcs,10202,Reinforcement Sundries,5,Reinforcement Sundries,3,Structure,,,
10202.11356,11356,GI WIRE ROPE CLIP 38MM,Pcs,10202,Reinforcement Sundries,5,Reinforcement Sundries,3,Structure,,,
10202.11388,11388,"PETROLATUM CORROSION PROTECTION TAPE FOR BARS, COUPLERS AND TURNBUCKLES",Pcs,10202,Reinforcement Sundries,5,Reinforcement Sundries,3,Structure,,,
10202.11519,11519,CHEMICAL EPOXY,Pcs,10202,Reinforcement Sundries,5,Reinforcement Sundries,3,Structure,,,
10202.11883,11883,IPE 240MM*120MM*12M,Pcs,10202,Reinforcement Sundries,5,Reinforcement Sundries,3,Structure,,,
10202.11884,11884,HEB 140 - 140MM*140MM*12M,Pcs,10202,Reinforcement Sundries,5,Reinforcement Sundries,3,Structure,,,
10202.11885,11885,EQUAL ANGLES 70*70*8MM*6M,Pcs,10202,Reinforcement Sundries,5,Reinforcement Sundries,3,Structure,,,
10202.11886,11886,FLAT BAR 70MM*8MM*6M,Pcs,10202,Reinforcement Sundries,5,Reinforcement Sundries,3,Structure,,,
10202.11887,11887,H. R. SHEET 4'*8'*10MM,Pcs,10202,Reinforcement Sundries,5,Reinforcement Sundries,3,Structure,,,
10202.14132,14132,STEEL WIRE MESH,Pcs,10202,Reinforcement Sundries,5,Reinforcement Sundries,3,Structure,,,
10301.14129,14129,LIGHT WEIGHT CONCRETE,m3,10301,Concrete,1,Waterproofing,3,Structure,,,
10301.10003,10003,READY MIX C20/20 OPC,m3,10301,Concrete,7,Concrete,3,Structure,,,
10301.10004,10004,READY MIX C20/20 SRC,m3,10301,Concrete,7,Concrete,3,Structure,,,
10301.10005,10005,READY MIX C30/20 OPC,m3,10301,Concrete,7,Concrete,3,Structure,,,
10301.10006,10006,READY MIX C30/20 SRC,m3,10301,Concrete,7,Concrete,3,Structure,,,
10301.10007,10007,READY MIX C35/20 OPC,m3,10301,Concrete,7,Concrete,3,Structure,,,
10301.10008,10008,READY MIX C40/20 OPC,m3,10301,Concrete,7,Concrete,3,Structure,,,
10301.10009,10009,READY MIX C40/20 SRC,m3,10301,Concrete,7,Concrete,3,Structure,,,
10301.10010,10010,READY MIX C20/10 OPC,m3,10301,Concrete,7,Concrete,3,Structure,,,
10301.10011,10011,READY MIX C30/10 OPC,m3,10301,Concrete,7,Concrete,3,Structure,,,
10301.10012,10012,SLURRY MIX,m3,10301,Concrete,7,Concrete,3,Structure,,,
10301.10013,10013,READY MIX C50/20 OPC,m3,10301,Concrete,7,Concrete,3,Structure,,,
10301.10681,10681,READY MIX C35/20 SRC,m3,10301,Concrete,7,Concrete,3,Structure,,,
10301.10981,10981,C20 CEMENT SAND SCREED,m3,10301,Concrete,7,Concrete,3,Structure,,,
10301.10994,10994,C40/20 SRC+ 0.5 WPA,m3,10301,Concrete,7,Concrete,3,Structure,,,
10301.11059,11059,C40/20 SRC+ 0.6 KG FIBER,m3,10301,Concrete,7,Concrete,3,Structure,,,
10301.11062,11062,READY MIX C15/20 SRC,m3,10301,Concrete,7,Concrete,3,Structure,,,
10301.11121,11121,READY MIX C25/20 OPC,m3,10301,Concrete,7,Concrete,3,Structure,,,
10301.11122,11122,READY MIX C25/20 SRC,m3,10301,Concrete,7,Concrete,3,Structure,,,
10301.11128,11128,C20 OPC CEMENT SAND,m3,10301,Concrete,7,Concrete,3,Structure,,,
10301.11129,11129,READY MIX C40/20 SRC + 1% WPA,m3,10301,Concrete,7,Concrete,3,Structure,,,
10301.11141,11141,READY MIX C40/20 OPC + 50% GGBFS + 5% MS,m3,10301,Concrete,7,Concrete,3,Structure,,,
10301.11386,11386,READY MIX C45/20 OPC+5%MS+5LTR CL+WPA,m3,10301,Concrete,7,Concrete,3,Structure,,,
10301.11387,11387,READY MIX C65/10 OPC+35% GGBFS (SCC),m3,10301,Concrete,7,Concrete,3,Structure,,,
10301.11506,11506,READY MIX C65/20 OPC+35%GGBFS+0.5%WPA,m3,10301,Concrete,7,Concrete,3,Structure,,,
10301.11925,11925,READY MIX C35/20 OPC+WPA,m3,10301,Concrete,7,Concrete,3,Structure,,,
10301.11954,11954,CONCRETE WHEEL STOPPER WITH FIXING ROD SIZE: 150X150X1800MM,Pcs,10301,Concrete,7,Concrete,3,Structure,,,
10301.12558,12558,READY MIX C40/20 OPC + GGBS,m3,10301,Concrete,7,Concrete,3,Structure,,,
10301.12559,12559,READY MIX C50/20 OPC + GGBS,m3,10301,Concrete,7,Concrete,3,Structure,,,
10301.12560,12560,READY MIX C50/20 OPC + GGBS + MS,m3,10301,Concrete,7,Concrete,3,Structure,,,
10301.12561,12561,HYDROPHOBIC WATERPROOF,m3,10301,Concrete,7,Concrete,3,Structure,,,
10301.12562,12562,CRYSTALLINE WATERPROOF,m3,10301,Concrete,7,Concrete,3,Structure,,,
10301.12695,12695,READY MIX C40/10 OPC + 10%PFA + 5%MS SCC,m3,10301,Concrete,7,Concrete,3,Structure,,,
10301.12696,12696,READY MIX C50/10 OPC + 10%PFA + 5%MS SCC,m3,10301,Concrete,7,Concrete,3,Structure,,,
10301.12697,12697,READY MIX C40/20 OPC + 50%GGBS + CWPA,m3,10301,Concrete,7,Concrete,3,Structure,,,
10301.12698,12698,READY MIX C50/20 OPC + 50%GGBS + CWPA,m3,10301,Concrete,7,Concrete,3,Structure,,,
10301.12710,12710,READY MIX C50/20 OPC + 35% GGBS + CWPA,m3,10301,Concrete,7,Concrete,3,Structure,,,
10301.13017,13017,C15/10 OPC-SCREED,m3,10301,Concrete,7,Concrete,3,Structure,,,
10301.13171,13171,C50 OPC SAND CEMENT,m3,10301,Concrete,7,Concrete,3,Structure,,,
10301.13172,13172,READY MIX C15 CEMENT SAND SCREED OPC,m3,10301,Concrete,7,Concrete,3,Structure,,,
10301.13173,13173,READY MIX C40/20 OPC + 50% GGBFS + 5% MS + 0.5 LTR WPA,m3,10301,Concrete,7,Concrete,3,Structure,,,
10301.13174,13174,READY MIX C40/20 OPC + 60% GGBFS + 5% MS + 5 LTR CI,m3,10301,Concrete,7,Concrete,3,Structure,,,
10301.13175,13175,READY MIX C40/10 OPC + 50% GGBFS + 5% MS (SCC),m3,10301,Concrete,7,Concrete,3,Structure,,,
10301.13346,13346,"CONCRETE WHEEL STOPPER 170MM LENGTH, 200MM WIDTH, 100MM HEIGHT",Pcs,10301,Concrete,7,Concrete,3,Structure,,,
10301.13482,13482,READY MIX C15 CEMENT SAND SCREED + 0.9KG FIBER,m3,10301,Concrete,7,Concrete,3,Structure,,,
10301.13725,13725,C15 OPC+MICRO FIBER WS4 W/C 0.50 COLLAPSE SCREED,m3,10301,Concrete,7,Concrete,3,Structure,,,
10301.13933,13933,FOAM CONCRETE DENSITY 600 - 700 KG,m3,10301,Concrete,7,Concrete,3,Structure,,,
10301.14105,14105,C5/40 OPC FLOWABLE FILL DENSITY 1800 (+ /-200) KG/M3,m3,10301,Concrete,7,Concrete,3,Structure,,,
10301.14130,14130,READYMIX C40/10 OPC,m3,10301,Concrete,7,Concrete,3,Structure,,,
10301.14131,14131,C40 SRC WITH 20MM ADMIX,m3,10301,Concrete,7,Concrete,3,Structure,,,
10301.14132,14132,C40 OPC SCREED,m3,10301,Concrete,7,Concrete,3,Structure,,,
10301.14133,14133,OPC CEMENT SAND SCREED + WP,m3,10301,Concrete,7,Concrete,3,Structure,,,
10301.14134,14134,READY MIX C45/20 OPC,m3,10301,Concrete,7,Concrete,3,Structure,,,
10301.14135,14135,READY MIX C45/20 OPC + 8% MS,m3,10301,Concrete,7,Concrete,3,Structure,,,
10302.80001,80001,CONCRETE TILE,m2,10302,Precast Concrete,7,Concrete,3,Structure,,,
10302.80002,80002,PAVER TILE,m2,10302,Precast Concrete,7,Concrete,3,Structure,,,
10302.10016,10016,150 MM HOLLOW CORE PRECAST SLAB,m3,10302,Precast Concrete,8,Precast Concrete,3,Structure,,,
10302.10017,10017,200 MM HOLLOW CORE PRECAST SLAB,m3,10302,Precast Concrete,8,Precast Concrete,3,Structure,,,
10302.10018,10018,265MM HOLLOW CORE PRECAST SLAB,m2,10302,Precast Concrete,8,Precast Concrete,3,Structure,,,
10302.10705,10705,PRECAST CONCRETE GULLY POT 1100x550x50,Pcs,10302,Precast Concrete,8,Precast Concrete,3,Structure,,,
10302.10706,10706,GULLY  COVERSLAB,Pcs,10302,Precast Concrete,8,Precast Concrete,3,Structure,,,
10302.10889,10889,PRECAST CONCRETE WHEEL STOPPER,Pcs,10302,Precast Concrete,8,Precast Concrete,3,Structure,,,
10302.10905,10905,"SRC, HYD.PRESSED PRECAST KERB / 75x250x914mm / Edge",Pcs,10302,Precast Concrete,8,Precast Concrete,3,Structure,,,
10302.10906,10906,"SRC, HYD.PRESSED PRECAST KERB / 150x300x914mm / Half Battered",Pcs,10302,Precast Concrete,8,Precast Concrete,3,Structure,,,
10302.10907,10907,INTERLOCK,Pcs,10302,Precast Concrete,8,Precast Concrete,3,Structure,,,
10302.10908,10908,KERBSTONE,Pcs,10302,Precast Concrete,8,Precast Concrete,3,Structure,,,
10302.11064,11064,320MM HOLLOW CORE PRECAST SLAB,m2,10302,Precast Concrete,8,Precast Concrete,3,Structure,,,
10302.11345,11345,PRECAST CONCRETE GULLY POT 1050x450x50 50MM THICK,Pcs,10302,Precast Concrete,8,Precast Concrete,3,Structure,,,
10302.11346,11346,PRECAST CONCRETE GULLY COVER  690X590x100MM THICK,Pcs,10302,Precast Concrete,8,Precast Concrete,3,Structure,,,
10302.11360,11360,INTERLOCK 200X100X60 GRAY,m2,10302,Precast Concrete,8,Precast Concrete,3,Structure,,,
10302.11361,11361,INTERLOCK 200X100X60 RED,m2,10302,Precast Concrete,8,Precast Concrete,3,Structure,,,
10302.11362,11362,INTERLOCK 200X100X60 YELLOW,m2,10302,Precast Concrete,8,Precast Concrete,3,Structure,,,
10302.11374,11374,KERBSTONE 914X254X50,Pcs,10302,Precast Concrete,8,Precast Concrete,3,Structure,,,
10302.11375,11375,KERBSTONE 914X254X125,Pcs,10302,Precast Concrete,8,Precast Concrete,3,Structure,,,
10302.12041,12041,PRECAST SOAKAWAY COVER SLAB,Pcs,10302,Precast Concrete,8,Precast Concrete,3,Structure,,,
10302.12081,12081,DITTO WITH ABOVE BUT - DOUBLE OPENING,Pcs,10302,Precast Concrete,8,Precast Concrete,3,Structure,,,
10302.12394,12394,KERBSTONE 914X300X150MM,Pcs,10302,Precast Concrete,8,Precast Concrete,3,Structure,,,
10302.12435,12435,400MM HOLLOW CORE PRECAST SLAB,Pcs,10302,Precast Concrete,8,Precast Concrete,3,Structure,,,
10302.13423,13423,KERBSTONE FLUSH 600X254X50 GREY,Pcs,10302,Precast Concrete,8,Precast Concrete,3,Structure,,,
